Name,website,univ--address
Prof. Dr. Thomas Johnen,http://www.fh-zwickau.de/index.php?id=1990,Westsächsische Hochschule Zwickau --  Scheffelstraße 39; Haus 1 39 08066 Zwickau Deutschland 
Prof. Dr. Hanno Ehrlicher,##NA##,Universität Augsburg --  Deutschland 
Prof. Dr. Giuliana Giusti,http://www.unive.it/nqcontent.cfm?a_id=82503&pid=5592869,Università Ca' Foscari di Venezia --  Ca' Bembo - Dorsoduro 1075 I-30123 Venedig Italien 
Dr. Nanette Rißler-Pipka,www.revistas-culturales.de; http://www.uni-augsburg.de/institute/isla/Aktuelles/Neue_Mitarbeiterin_am_Institut_f__r_Spanien-__Portugal-_und_Lateinamerikastudien__Dr__Nanette_Ri__ler-Pipka.html,Universität Augsburg --  Universitätsstr. 10 86159 Augsburg Deutschland 
Maria Amelina,http://www.romanistik.uni-frankfurt.de/mitarbeiter/amelina/index.html,Goethe-Universität Frankfurt am Main --   Frankfurt am Main Deutschland 
Marina-Rafaela Buch,##NA##,Johannes-Gutenberg-Universität Mainz --  Jakob-Welder-Weg 18 55128 Mainz Deutschland 
Dr. Doris Bachmann-Medick,http://www.bachmann-medick.de,Justus-Liebig-Universität Gießen --  Alter Steinbacher Weg  38 35394 Gießen Deutschland 
Prof. Dr. Raymund Wilhelm,http://www.uni-klu.ac.at/rom/inhalt/16.htm,Alpen-Adria-Universität Klagenfurt --   Klagenfurt Österreich 
Anne Wolfsgruber,##NA##,Universität Salzburg --  Österreich 
Sandra Rudman,http://www.uni-heidelberg.de/rose/personen/rudman.html,Ruprecht-Karls-Universität Heidelberg --  Seminarstraße 3 69115 Heidelberg Deutschland 
Prof. Dr. Véronique Porra,http://www.staff.uni-mainz.de/porra/welcome.htm,Johannes-Gutenberg-Universität Mainz --   Mainz Deutschland 
Dr. Hendrik Schlieper,http://kw.uni-paderborn.de/institute-einrichtungen/institut-fuer-germanistik-und-vergleichende-literaturwissenschaft/komparatistik/personal/schlieper/,Universität Paderborn --  Warburger Straße 100 33098 Paderborn Deutschland 
Dr. habil. Günter Berghaus,##NA##,University of Bristol --  Qu 
Dr. Max  Doppelbauer,##NA##,Universität Wien --  1090 Wien Österreich 
